"filename", "language", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "XML", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\InventoryModal\InventoryEmptyItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\InventoryModal\InventoryItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 222, 0, 0, 21, 243
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\InventoryModal\InventoryModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 23, 185
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 201, 0, 0, 16, 217
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\SelectEquipmentModal\EquipmentItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 15, 131
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\SelectEquipmentModal\SelectEquipmentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 10, 65
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\ShopModal\ShopBuyItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 232, 0, 0, 28, 260
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\ShopModal\ShopModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 268, 0, 0, 42, 310
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\ShopModal\ShopSellItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 216, 0, 0, 25, 241
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\SkillsModal\SkillElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 11, 159
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\SkillsModal\SkillsModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 525, 0, 0, 41, 566
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\TextModal\TextModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\WinCombatModal\EndCombatModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 0, 11, 142
"c:\Users\nilow\Desktop\react-project\app\src\components\Modals\WinCombatModal\WinCombatItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 10, 87
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\AreaBackground.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 10, 91
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\AreaPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 225, 0, 0, 45, 270
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\AreaEnemiesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 12, 114
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\AreaItemsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 18, 146
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\AreaPathsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 14, 120
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\Mapped\AreaEnemy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 14, 91
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\Mapped\AreaItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 20, 136
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\Mapped\AreaMapped.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 6, 63
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\Sections\Mapped\AreaPath.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 18, 126
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Area\UpdatedMinutes\MinutesRemaining.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 13, 11, 60
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Combat\CombatPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 403, 0, 0, 65, 468
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Combat\CombatText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 1, 15, 174
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Combat\Sections\CharacterSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 10, 136
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Combat\Sections\EnemySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 12, 148
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Combat\Sections\HistorySection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 6, 69
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Creator\CreatorAreaPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 242, 0, 0, 17, 259
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Creator\CreatorEnemiesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 303, 0, 0, 24, 327
"c:\Users\nilow\Desktop\react-project\app\src\components\Pages\Creator\CreatorItemPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 467, 0, 0, 25, 492
"c:\Users\nilow\Desktop\react-project\app\src\components\Range\Range.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 7, 61
"c:\Users\nilow\Desktop\react-project\app\src\components\SearchBar\CheckboxSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 9, 75
"c:\Users\nilow\Desktop\react-project\app\src\components\SearchBar\Dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 13, 158
"c:\Users\nilow\Desktop\react-project\app\src\components\SearchBar\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\nilow\Desktop\react-project\app\src\components\SearchBar\ReverseButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\nilow\Desktop\react-project\app\src\components\Section\Section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 6, 80
"c:\Users\nilow\Desktop\react-project\app\src\components\TimerLine\TimerLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 8, 85
"c:\Users\nilow\Desktop\react-project\app\src\components\Title\Title.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\nilow\Desktop\react-project\app\src\data\AreaItems.ts", "TypeScript", 0, 0, 0, 3165, 0, 0, 0, 0, 0, 5, 3170
